,params,mle,N,p_transition,offset,kappa
18786,3.2_17.0_1.4_2.7_10.0,-13825.911980769228,3.2,1.4,17.0,2.7
18787,4.4_12.5_0.7_2.5_10.0,-13677.97925,4.4,0.7,12.5,2.5
18788,3.0_13.5_0.5_2.5_10.0,-13718.857711538461,3.0,0.5,13.5,2.5
18789,4.2_9.5_1.2_2.9_10.0,-13728.70871153846,4.2,1.2,9.5,2.9
18790,4.0_17.5_1.2_2.2_10.0,-13750.711634615385,4.0,1.2,17.5,2.2
18791,3.6_16.5_0.8_2.2_10.0,-13738.259269230768,3.6,0.8,16.5,2.2
18792,4.0_11.5_1.0_1.4_10.0,-13675.466423076923,4.0,1.0,11.5,1.4
18793,3.4_15.0_1.4_2.9_10.0,-13770.397153846154,3.4,1.4,15.0,2.9
18794,3.4_10.5_1.2_1.4_10.0,-13673.56021153846,3.4,1.2,10.5,1.4
18795,3.4_16.5_1.0_2.2_10.0,-13752.431576923078,3.4,1.0,16.5,2.2
18796,4.2_11.5_0.8_1.4_10.0,-13686.529384615382,4.2,0.8,11.5,1.4
18797,4.8_17.0_1.3_2.9_10.0,-13725.959153846155,4.8,1.3,17.0,2.9
18798,3.0_16.0_0.5_2.5_10.0,-13797.068519230768,3.0,0.5,16.0,2.5
18799,3.2_12.5_1.4_2.7_10.0,-13725.999057692305,3.2,1.4,12.5,2.7
18800,4.4_17.0_0.7_2.5_10.0,-13700.95598076923,4.4,0.7,17.0,2.5
18801,3.8_10.5_0.6_1.8_10.0,-13693.74928846154,3.8,0.6,10.5,1.8
18802,3.8_11.5_0.9_2.7_10.0,-13667.026192307692,3.8,0.9,11.5,2.7
18803,4.8_12.5_1.3_2.9_10.0,-13692.17548076923,4.8,1.3,12.5,2.9
18804,3.4_15.0_1.2_1.4_10.0,-13722.794653846155,3.4,1.2,15.0,1.4
18805,3.4_10.5_1.4_2.9_10.0,-13693.943673076923,3.4,1.4,10.5,2.9
18806,4.2_14.0_0.8_1.4_10.0,-13680.10507692308,4.2,0.8,14.0,1.4
18807,3.4_13.0_1.0_2.2_10.0,-13682.12653846154,3.4,1.0,13.0,2.2
18808,4.0_12.0_1.2_2.2_10.0,-13671.05348076923,4.0,1.2,12.0,2.2
18809,4.0_14.0_1.0_1.4_10.0,-13678.031269230767,4.0,1.0,14.0,1.4
18810,3.6_13.0_0.8_2.2_10.0,-13674.945788461539,3.6,0.8,13.0,2.2
18811,3.2_10.0_1.0_1.4_10.0,-13671.190499999999,3.2,1.0,10.0,1.4
18812,4.4_17.0_0.8_2.2_10.0,-13697.521615384614,4.4,0.8,17.0,2.2
18813,3.2_16.0_1.2_2.2_10.0,-13765.647788461541,3.2,1.2,16.0,2.2
18814,3.0_10.0_0.8_1.4_10.0,-13675.007826923082,3.0,0.8,10.0,1.4
18815,4.6_17.0_1.0_2.2_10.0,-13691.056480769234,4.6,1.0,17.0,2.2
18816,4.6_11.0_1.2_1.4_10.0,-13722.454461538462,4.6,1.2,11.0,1.4
18817,4.6_14.5_1.4_2.9_10.0,-13706.813365384614,4.6,1.4,14.5,2.9
18818,3.8_11.5_0.6_2.0_10.0,-13679.976307692308,3.8,0.6,11.5,2.0
18819,4.8_15.5_1.1_2.7_10.0,-13685.125576923076,4.8,1.1,15.5,2.7
18820,3.6_13.0_0.7_2.5_10.0,-13678.433230769231,3.6,0.7,13.0,2.5
18821,4.0_16.5_1.4_2.7_10.0,-13760.990403846155,4.0,1.4,16.5,2.7
18822,4.4_9.0_1.4_2.6_10.0,-13755.543576923079,4.4,1.4,9.0,2.6
18823,4.2_12.0_0.5_2.5_10.0,-13693.869096153845,4.2,0.5,12.0,2.5
18824,3.8_14.0_0.6_2.0_10.0,-13688.839673076924,3.8,0.6,14.0,2.0
18825,4.6_12.5_1.0_2.2_10.0,-13675.932307692306,4.6,1.0,12.5,2.2
18826,3.0_15.5_0.8_1.4_10.0,-13763.434884615386,3.0,0.8,15.5,1.4
18827,4.6_11.0_1.4_2.9_10.0,-13718.155384615386,4.6,1.4,11.0,2.9
18828,4.6_14.5_1.2_1.4_10.0,-13677.310769230768,4.6,1.2,14.5,1.4
18829,3.0_9.5_1.3_2.8_10.0,-13687.137230769233,3.0,1.3,9.5,2.8
18830,4.4_12.5_0.8_2.2_10.0,-13673.910884615385,4.4,0.8,12.5,2.2
18831,3.2_15.5_1.0_1.4_10.0,-13741.66826923077,3.2,1.0,15.5,1.4
18832,3.2_13.5_1.2_2.2_10.0,-13707.369211538458,3.2,1.2,13.5,2.2
18833,4.2_17.5_0.5_2.5_10.0,-13741.086423076922,4.2,0.5,17.5,2.5
18834,3.6_16.5_0.7_2.5_10.0,-13743.51726923077,3.6,0.7,16.5,2.5
18835,4.0_13.0_1.4_2.7_10.0,-13704.36476923077,4.0,1.4,13.0,2.7
18836,4.8_10.0_1.1_2.7_10.0,-13772.13196153846,4.8,1.1,10.0,2.7
18837,3.6_9.5_1.4_2.4_10.0,-13687.901865384616,3.6,1.4,9.5,2.4
18838,3.4_13.5_1.1_2.1_10.0,-13691.919557692308,3.4,1.1,13.5,2.1
18839,4.2_15.5_0.6_2.8_10.0,-13692.089173076925,4.2,0.6,15.5,2.8
18840,3.6_13.5_0.9_2.1_10.0,-13678.406538461539,3.6,0.9,13.5,2.1
18841,4.0_12.5_1.3_2.1_10.0,-13681.011173076924,4.0,1.3,12.5,2.1
18842,3.8_11.0_0.8_2.4_10.0,-13674.374653846153,3.8,0.8,11.0,2.4
18843,4.4_17.5_0.6_2.6_10.0,-13717.233384615385,4.4,0.6,17.5,2.6
18844,3.6_16.0_0.9_2.1_10.0,-13722.154192307693,3.6,0.9,16.0,2.1
18845,4.0_17.0_1.3_2.1_10.0,-13745.942000000001,4.0,1.3,17.0,2.1
18846,4.2_10.0_0.6_2.8_10.0,-13743.960769230769,4.2,0.6,10.0,2.8
18847,3.4_16.0_1.1_2.1_10.0,-13743.386519230766,3.4,1.1,16.0,2.1
18848,4.4_12.0_0.6_2.6_10.0,-13689.541903846151,4.4,0.6,12.0,2.6
18849,3.8_14.5_0.8_2.4_10.0,-13684.906961538458,3.8,0.8,14.5,2.4
18850,4.8_10.5_1.0_2.4_10.0,-13755.994326923075,4.8,1.0,10.5,2.4
18851,4.4_9.5_1.3_1.8_10.0,-13741.83051923077,4.4,1.3,9.5,1.8
18852,3.6_16.0_0.6_2.6_10.0,-13735.265711538463,3.6,0.6,16.0,2.6
18853,3.0_14.0_0.6_2.8_10.0,-13723.601538461538,3.0,0.6,14.0,2.8
18854,4.6_12.0_1.1_2.1_10.0,-13685.59296153846,4.6,1.1,12.0,2.1
18855,3.2_13.0_1.3_2.1_10.0,-13708.85848076923,3.2,1.3,13.0,2.1
18856,4.8_9.0_1.4_2.5_10.0,-13830.693365384614,4.8,1.4,9.0,2.5
18857,4.4_12.0_0.9_2.1_10.0,-13675.267519230772,4.4,0.9,12.0,2.1
18858,3.8_14.5_0.7_2.3_10.0,-13686.994615384614,3.8,0.7,14.5,2.3
18859,3.6_13.5_0.6_2.6_10.0,-13686.76555769231,3.6,0.6,13.5,2.6
18860,4.8_15.0_1.0_2.4_10.0,-13670.399211538463,4.8,1.0,15.0,2.4
18861,3.8_11.0_0.7_2.3_10.0,-13679.011865384615,3.8,0.7,11.0,2.3
18862,3.2_16.5_1.3_2.1_10.0,-13784.779057692309,3.2,1.3,16.5,2.1
18863,4.8_9.0_1.2_1.8_10.0,-13839.951288461538,4.8,1.2,9.0,1.8
18864,4.4_17.5_0.9_2.1_10.0,-13705.24726923077,4.4,0.9,17.5,2.1
18865,4.6_17.5_1.1_2.1_10.0,-13703.700307692307,4.6,1.1,17.5,2.1
18866,3.0_11.5_0.6_2.8_10.0,-13682.725519230771,3.0,0.6,11.5,2.8
18867,3.6_9.5_0.9_2.9_10.0,-13685.204711538465,3.6,0.9,9.5,2.9
18868,4.2_11.0_1.2_2.7_10.0,-13685.02198076923,4.2,1.2,11.0,2.7
18869,3.4_11.0_0.7_1.8_10.0,-13675.07978846154,3.4,0.7,11.0,1.8
18870,3.4_10.0_0.8_2.7_10.0,-13673.627749999996,3.4,0.8,10.0,2.7
18871,3.6_10.0_1.0_2.7_10.0,-13673.176692307692,3.6,1.0,10.0,2.7
18872,4.8_16.5_0.6_2.5_10.0,-13686.317307692305,4.8,0.6,16.5,2.5
18873,3.8_12.5_1.1_2.2_10.0,-13675.210076923076,3.8,1.1,12.5,2.2
18874,3.8_14.5_1.3_1.4_10.0,-13703.899942307693,3.8,1.3,14.5,1.4
18875,3.0_11.5_1.4_2.2_10.0,-13706.01146153846,3.0,1.4,11.5,2.2
18876,4.6_14.0_0.7_2.0_10.0,-13673.46519230769,4.6,0.7,14.0,2.0
18877,3.0_12.0_1.0_2.9_10.0,-13691.751019230769,3.0,1.0,12.0,2.9
18878,4.4_13.0_1.2_2.9_10.0,-13681.353096153847,4.4,1.2,13.0,2.9
18879,3.2_15.0_0.5_2.0_10.0,-13750.459346153844,3.2,0.5,15.0,2.0
18880,3.2_13.0_0.7_1.6_10.0,-13691.401711538463,3.2,0.7,13.0,1.6
18881,3.2_12.0_0.8_2.9_10.0,-13679.181730769229,3.2,0.8,12.0,2.9
18882,4.8_13.0_0.6_2.5_10.0,-13693.20873076923,4.8,0.6,13.0,2.5
18883,3.2_9.5_1.0_2.9_10.0,-13674.269326923075,3.2,1.0,9.5,2.9
18884,3.6_15.5_1.0_2.7_10.0,-13720.292673076923,3.6,1.0,15.5,2.7
18885,4.2_14.5_1.2_2.7_10.0,-13696.114961538462,4.2,1.2,14.5,2.7
18886,3.4_15.5_0.8_2.7_10.0,-13728.389307692307,3.4,0.8,15.5,2.7
18887,3.4_14.5_0.7_1.8_10.0,-13704.989826923078,3.4,0.7,14.5,1.8
18888,3.2_10.5_0.5_2.0_10.0,-13687.119980769232,3.2,0.5,10.5,2.0
18889,4.4_16.5_1.2_2.9_10.0,-13720.40761538462,4.4,1.2,16.5,2.9
18890,3.2_17.5_0.8_2.9_10.0,-13801.294096153844,3.2,0.8,17.5,2.9
18891,3.0_14.0_1.4_2.2_10.0,-13750.987942307693,3.0,1.4,14.0,2.2
18892,3.0_17.5_1.0_2.9_10.0,-13817.309576923079,3.0,1.0,17.5,2.9
18893,4.6_11.5_0.7_2.0_10.0,-13723.011346153848,4.6,0.7,11.5,2.0
18894,3.8_17.0_1.1_2.2_10.0,-13743.404442307692,3.8,1.1,17.0,2.2
18895,3.8_11.0_1.3_1.4_10.0,-13679.044384615383,3.8,1.3,11.0,1.4
18896,4.0_9.5_1.1_2.8_10.0,-13717.04751923077,4.0,1.1,9.5,2.8
18897,4.8_13.0_0.9_2.2_10.0,-13678.614634615382,4.8,0.9,13.0,2.2
18898,4.2_13.5_1.0_2.9_10.0,-13676.942499999997,4.2,1.0,13.5,2.9
18899,3.4_15.5_0.7_2.0_10.0,-13729.770903846154,3.4,0.7,15.5,2.0
18900,4.2_10.0_1.4_2.2_10.0,-13714.192807692307,4.2,1.4,10.0,2.2
18901,4.0_13.5_0.8_2.9_10.0,-13677.637673076923,4.0,0.8,13.5,2.9
18902,4.0_12.5_0.7_1.6_10.0,-13676.838346153849,4.0,0.7,12.5,1.6
18903,4.0_14.5_0.5_2.0_10.0,-13696.426230769226,4.0,0.5,14.5,2.0
18904,3.6_12.5_1.2_2.9_10.0,-13699.093173076923,3.6,1.2,12.5,2.9
18905,4.6_11.5_0.8_2.7_10.0,-13713.52953846154,4.6,0.8,11.5,2.7
18906,4.6_10.5_0.7_1.8_10.0,-13755.731115384617,4.6,0.7,10.5,1.8
18907,3.0_10.5_1.2_2.7_10.0,-13689.357057692308,3.0,1.2,10.5,2.7
18908,4.4_11.5_1.0_2.7_10.0,-13686.369692307691,4.4,1.0,11.5,2.7
18909,4.8_9.0_0.9_2.8_10.0,-13855.093846153846,4.8,0.9,9.0,2.8
18910,4.0_16.0_0.8_2.9_10.0,-13704.157346153846,4.0,0.8,16.0,2.9
18911,3.6_17.0_1.2_2.9_10.0,-13782.527076923076,3.6,1.2,17.0,2.9
18912,4.0_11.0_0.5_2.0_10.0,-13700.623076923077,4.0,0.5,11.0,2.0
18913,3.4_10.0_0.7_2.0_10.0,-13680.271288461538,3.4,0.7,10.0,2.0
18914,4.2_16.0_1.0_2.9_10.0,-13702.94998076923,4.2,1.0,16.0,2.9
18915,4.4_9.5_0.8_2.8_10.0,-13760.480249999997,4.4,0.8,9.5,2.8
18916,4.2_15.5_1.4_2.2_10.0,-13720.144096153845,4.2,1.4,15.5,2.2
18917,4.8_16.5_0.9_2.2_10.0,-13677.77757692308,4.8,0.9,16.5,2.2
18918,4.4_14.0_1.0_2.7_10.0,-13673.641076923077,4.4,1.0,14.0,2.7
18919,4.6_15.0_0.7_1.8_10.0,-13678.78623076923,4.6,0.7,15.0,1.8
18920,4.6_14.0_0.8_2.7_10.0,-13669.356865384616,4.6,0.8,14.0,2.7
18921,3.0_15.0_1.2_2.7_10.0,-13766.311,3.0,1.2,15.0,2.7
18922,3.8_17.5_1.0_2.1_10.0,-13749.590038461536,3.8,1.0,17.5,2.1
18923,4.6_11.0_0.6_2.3_10.0,-13750.771653846152,4.6,0.6,11.0,2.3
18924,3.6_15.0_1.1_2.4_10.0,-13711.265538461537,3.6,1.1,15.0,2.4
18925,3.4_15.0_0.9_2.4_10.0,-13712.260134615382,3.4,0.9,15.0,2.4
18926,4.2_14.0_1.3_2.4_10.0,-13697.60848076923,4.2,1.3,14.0,2.4
18927,4.8_13.5_0.7_2.6_10.0,-13677.293192307696,4.8,0.7,13.5,2.6
18928,4.6_14.5_0.6_2.3_10.0,-13677.156461538463,4.6,0.6,14.5,2.3
18929,3.8_12.0_1.0_2.1_10.0,-13667.79930769231,3.8,1.0,12.0,2.1
18930,4.8_16.0_0.7_2.6_10.0,-13680.516288461542,4.8,0.7,16.0,2.6
18931,3.4_10.5_0.9_2.4_10.0,-13668.09046153846,3.4,0.9,10.5,2.4
18932,4.2_11.5_1.3_2.4_10.0,-13679.49826923077,4.2,1.3,11.5,2.4
18933,3.6_10.5_1.1_2.4_10.0,-13672.601288461537,3.6,1.1,10.5,2.4
18934,4.4_14.5_1.1_2.4_10.0,-13681.810442307691,4.4,1.1,14.5,2.4
18935,3.0_15.5_1.3_2.4_10.0,-13781.627403846152,3.0,1.3,15.5,2.4
18936,4.6_14.5_0.9_2.4_10.0,-13668.406307692308,4.6,0.9,14.5,2.4
18937,3.0_9.5_0.8_1.8_10.0,-13671.938653846157,3.0,0.8,9.5,1.8
18938,3.8_9.0_1.0_1.8_10.0,-13719.278826923079,3.8,1.0,9.0,1.8
18939,4.8_16.0_0.8_2.1_10.0,-13677.712423076928,4.8,0.8,16.0,2.1
18940,4.8_11.0_0.5_2.8_10.0,-13767.250980769228,4.8,0.5,11.0,2.8
18941,3.4_10.5_0.6_2.3_10.0,-13679.389750000002,3.4,0.6,10.5,2.3
18942,3.4_9.5_1.1_1.8_10.0,-13672.608134615388,3.4,1.1,9.5,1.8
18943,3.0_10.0_1.3_2.4_10.0,-13685.475019230767,3.0,1.3,10.0,2.4
18944,4.6_11.0_0.9_2.4_10.0,-13731.001038461542,4.6,0.9,11.0,2.4
18945,4.4_11.0_1.1_2.4_10.0,-13699.405596153843,4.4,1.1,11.0,2.4
18946,3.4_15.0_0.6_2.3_10.0,-13721.867038461538,3.4,0.6,15.0,2.3
18947,4.8_13.5_0.8_2.1_10.0,-13674.052211538461,4.8,0.8,13.5,2.1
18948,4.8_14.5_0.5_2.8_10.0,-13682.61878846154,4.8,0.5,14.5,2.8
18949,4.8_11.5_0.6_2.3_10.0,-13751.590807692306,4.8,0.6,11.5,2.3
18950,4.2_16.0_1.2_2.1_10.0,-13704.38798076923,4.2,1.2,16.0,2.1
18951,3.4_10.0_0.5_2.8_10.0,-13690.722249999999,3.4,0.5,10.0,2.8
18952,3.4_17.0_0.8_2.1_10.0,-13766.403480769231,3.4,0.8,17.0,2.1
18953,4.0_11.0_0.7_2.8_10.0,-13681.224865384615,4.0,0.7,11.0,2.8
18954,3.6_17.0_1.0_2.1_10.0,-13750.685019230768,3.6,1.0,17.0,2.1
18955,3.0_16.5_1.4_2.4_10.0,-13817.236115384616,3.0,1.4,16.5,2.4
18956,4.6_13.0_0.7_2.6_10.0,-13677.603692307692,4.6,0.7,13.0,2.6
18957,3.2_12.0_0.5_2.6_10.0,-13689.676865384616,3.2,0.5,12.0,2.6
18958,3.8_15.5_1.1_2.4_10.0,-13710.4555,3.8,1.1,15.5,2.4
18959,3.6_12.5_1.0_2.1_10.0,-13676.446750000001,3.6,1.0,12.5,2.1
18960,4.0_14.5_0.7_2.8_10.0,-13682.686884615385,4.0,0.7,14.5,2.8
18961,3.4_15.5_0.5_2.8_10.0,-13744.716365384616,3.4,0.5,15.5,2.8
18962,4.2_13.5_1.2_2.1_10.0,-13678.862807692309,4.2,1.2,13.5,2.1
18963,3.4_12.5_0.8_2.1_10.0,-13675.246346153843,3.4,0.8,12.5,2.1
18964,4.8_14.0_0.6_2.3_10.0,-13681.508576923077,4.8,0.6,14.0,2.3
18965,4.0_9.5_1.3_2.0_10.0,-13712.771711538458,4.0,1.3,9.5,2.0
18966,3.8_10.0_1.1_2.4_10.0,-13681.886980769234,3.8,1.1,10.0,2.4
18967,3.2_17.5_0.5_2.6_10.0,-13829.479807692307,3.2,0.5,17.5,2.6
18968,3.0_13.0_1.4_2.4_10.0,-13734.22955769231,3.0,1.4,13.0,2.4
18969,4.6_16.5_0.7_2.6_10.0,-13686.846923076924,4.6,0.7,16.5,2.6
18970,3.4_12.5_0.7_2.6_10.0,-13678.703153846154,3.4,0.7,12.5,2.6
18971,4.2_17.0_1.4_2.4_10.0,-13751.353000000001,4.2,1.4,17.0,2.4
18972,4.0_13.5_0.5_2.6_10.0,-13688.313269230768,4.0,0.5,13.5,2.6
18973,4.8_14.0_0.9_2.4_10.0,-13668.36773076923,4.8,0.9,14.0,2.4
18974,3.2_9.5_1.2_2.1_10.0,-13673.87925,3.2,1.2,9.5,2.1
18975,4.6_16.5_0.8_2.1_10.0,-13683.06907692308,4.6,0.8,16.5,2.1
18976,4.6_11.5_0.5_2.8_10.0,-13733.030846153844,4.6,0.5,11.5,2.8
18977,3.0_17.5_1.2_2.1_10.0,-13815.17380769231,3.0,1.2,17.5,2.1
18978,4.4_16.5_1.0_2.1_10.0,-13690.519538461538,4.4,1.0,16.5,2.1
18979,3.2_10.5_0.7_2.8_10.0,-13671.826057692308,3.2,0.7,10.5,2.8
18980,4.8_11.5_0.9_2.4_10.0,-13731.801,4.8,0.9,11.5,2.4
18981,4.0_16.0_0.5_2.6_10.0,-13715.462192307692,4.0,0.5,16.0,2.6
18982,3.4_17.0_0.7_2.6_10.0,-13773.234519230771,3.4,0.7,17.0,2.6
18983,4.4_9.5_0.5_2.7_10.0,-13779.495288461538,4.4,0.5,9.5,2.7
18984,4.2_12.5_1.4_2.4_10.0,-13685.84548076923,4.2,1.4,12.5,2.4
18985,3.2_15.0_0.7_2.8_10.0,-13732.232230769234,3.2,0.7,15.0,2.8
18986,4.4_13.0_1.0_2.1_10.0,-13667.236096153843,4.4,1.0,13.0,2.1
18987,4.6_13.0_0.8_2.1_10.0,-13674.044423076924,4.6,0.8,13.0,2.1
18988,3.0_12.0_1.2_2.1_10.0,-13693.108346153846,3.0,1.2,12.0,2.1
18989,4.6_14.0_0.5_2.8_10.0,-13682.385557692307,4.6,0.5,14.0,2.8
18990,4.6_16.0_0.6_2.5_10.0,-13685.919807692308,4.6,0.6,16.0,2.5
18991,3.8_10.5_1.0_2.7_10.0,-13673.210038461537,3.8,1.0,10.5,2.7
18992,4.8_14.5_0.7_2.0_10.0,-13673.13651923077,4.8,0.7,14.5,2.0
18993,4.0_9.0_1.2_2.3_10.0,-13730.94271153846,4.0,1.2,9.0,2.3
18994,4.0_15.0_0.9_1.4_10.0,-13685.775730769234,4.0,0.9,15.0,1.4
18995,3.6_12.0_1.1_2.2_10.0,-13675.307615384614,3.6,1.1,12.0,2.2
18996,3.6_14.0_1.3_1.4_10.0,-13704.051384615384,3.6,1.3,14.0,1.4
18997,4.2_15.0_1.1_1.4_10.0,-13683.85476923077,4.2,1.1,15.0,1.4
18998,3.4_12.0_0.9_2.2_10.0,-13674.573057692307,3.4,0.9,12.0,2.2
18999,4.2_13.0_1.3_2.2_10.0,-13682.56155769231,4.2,1.3,13.0,2.2
19000,3.8_15.0_1.0_2.7_10.0,-13700.959807692308,3.8,1.0,15.0,2.7
19001,4.6_13.5_0.6_2.5_10.0,-13680.00973076923,4.6,0.6,13.5,2.5
19002,3.6_9.0_0.5_2.5_10.0,-13726.784134615387,3.6,0.5,9.0,2.5
19003,3.4_17.5_0.9_2.2_10.0,-13777.560884615381,3.4,0.9,17.5,2.2
19004,4.2_10.5_1.1_1.4_10.0,-13702.221057692308,4.2,1.1,10.5,1.4
19005,4.2_16.5_1.3_2.2_10.0,-13725.120634615383,4.2,1.3,16.5,2.2
19006,3.6_17.5_1.1_2.2_10.0,-13768.846403846155,3.6,1.1,17.5,2.2
19007,4.0_10.5_0.9_1.4_10.0,-13693.943903846153,4.0,0.9,10.5,1.4
19008,3.6_11.5_1.3_1.4_10.0,-13681.65223076923,3.6,1.3,11.5,1.4
19009,4.8_11.0_0.7_2.0_10.0,-13758.930788461537,4.8,0.7,11.0,2.0
19010,3.8_12.0_1.2_2.9_10.0,-13685.401980769231,3.8,1.2,12.0,2.9
19011,4.4_15.5_1.3_1.4_10.0,-13696.574249999998,4.4,1.3,15.5,1.4
19012,4.4_13.5_1.1_2.2_10.0,-13671.082288461537,4.4,1.1,13.5,2.2
19013,3.2_14.5_0.9_1.4_10.0,-13714.54621153846,3.2,0.9,14.5,1.4
19014,3.0_12.5_1.3_2.2_10.0,-13709.429423076925,3.0,1.3,12.5,2.2
19015,4.6_13.5_0.9_2.2_10.0,-13668.549865384615,4.6,0.9,13.5,2.2
19016,3.0_14.5_1.1_1.4_10.0,-13731.089557692305,3.0,1.1,14.5,1.4
19017,3.4_17.5_0.6_2.5_10.0,-13798.072115384615,3.4,0.6,17.5,2.5
19018,4.8_11.0_0.8_2.7_10.0,-13748.363442307696,4.8,0.8,11.0,2.7
19019,4.8_10.0_0.7_1.8_10.0,-13796.760461538466,4.8,0.7,10.0,1.8
19020,3.0_17.0_1.3_2.2_10.0,-13814.43565384615,3.0,1.3,17.0,2.2
19021,3.0_11.0_1.1_1.4_10.0,-13679.837346153847,3.0,1.1,11.0,1.4
19022,4.6_16.0_0.9_2.2_10.0,-13677.993423076921,4.6,0.9,16.0,2.2
19023,4.4_10.0_1.3_1.4_10.0,-13729.048230769231,4.4,1.3,10.0,1.4
19024,4.8_9.5_0.5_2.4_10.0,-13835.599019230767,4.8,0.5,9.5,2.4
19025,3.2_11.0_0.9_1.4_10.0,-13674.916923076924,3.2,0.9,11.0,1.4
19026,4.4_16.0_1.1_2.2_10.0,-13691.808749999998,4.4,1.1,16.0,2.2
19027,3.8_17.5_1.2_2.9_10.0,-13781.521134615383,3.8,1.2,17.5,2.9
19028,4.8_15.5_0.7_1.8_10.0,-13678.82730769231,4.8,0.7,15.5,1.8
19029,4.8_14.5_0.8_2.7_10.0,-13668.950384615386,4.8,0.8,14.5,2.7
19030,3.2_9.0_1.3_2.2_10.0,-13677.786019230769,3.2,1.3,9.0,2.2
19031,3.4_12.0_0.6_2.5_10.0,-13682.481307692306,3.4,0.6,12.0,2.5
19032,3.2_10.0_1.4_2.1_10.0,-13685.793000000001,3.2,1.4,10.0,2.1
19033,4.4_15.5_0.7_2.3_10.0,-13681.010596153848,4.4,0.7,15.5,2.3
19034,3.0_14.5_0.5_2.3_10.0,-13748.855192307692,3.0,0.5,14.5,2.3
19035,3.0_9.5_1.1_2.0_10.0,-13669.509557692307,3.0,1.1,9.5,2.0
19036,3.8_13.0_0.9_2.1_10.0,-13674.409288461537,3.8,0.9,13.0,2.1
19037,3.8_9.0_0.9_2.0_10.0,-13723.052596153846,3.8,0.9,9.0,2.0
19038,4.0_10.5_1.2_2.4_10.0,-13683.434038461537,4.0,1.2,10.5,2.4
19039,3.6_11.5_0.8_2.4_10.0,-13669.077865384616,3.6,0.8,11.5,2.4
19040,3.4_11.5_1.0_2.4_10.0,-13672.67425,3.4,1.0,11.5,2.4
19041,3.4_9.5_0.8_2.0_10.0,-13678.967846153846,3.4,0.8,9.5,2.0
19042,4.6_9.5_0.6_2.6_10.0,-13798.532384615382,4.6,0.6,9.5,2.6
19043,3.8_16.5_0.9_2.1_10.0,-13721.268653846153,3.8,0.9,16.5,2.1
19044,3.0_11.0_0.5_2.3_10.0,-13688.791884615384,3.0,0.5,11.0,2.3
19045,3.2_15.5_1.4_2.1_10.0,-13773.66673076923,3.2,1.4,15.5,2.1
19046,4.4_10.0_0.7_2.3_10.0,-13753.935326923076,4.4,0.7,10.0,2.3
19047,3.4_14.0_1.0_2.4_10.0,-13695.962730769226,3.4,1.0,14.0,2.4
19048,4.0_15.0_1.2_2.4_10.0,-13703.948961538463,4.0,1.2,15.0,2.4
19049,3.6_14.0_0.8_2.4_10.0,-13685.177192307692,3.6,0.8,14.0,2.4
19050,3.8_16.5_0.6_2.6_10.0,-13734.363634615382,3.8,0.6,16.5,2.6
19051,4.6_9.5_0.9_2.1_10.0,-13782.3575,4.6,0.9,9.5,2.1
19052,3.4_9.5_0.7_2.7_10.0,-13682.013173076924,3.4,0.7,9.5,2.7
19053,4.4_10.0_0.8_2.4_10.0,-13745.50575,4.4,0.8,10.0,2.4
19054,3.2_11.0_1.2_2.4_10.0,-13684.03623076923,3.2,1.2,11.0,2.4
19055,4.6_10.0_1.0_2.4_10.0,-13754.97223076923,4.6,1.0,10.0,2.4
19056,3.6_14.0_0.7_2.3_10.0,-13687.341711538458,3.6,0.7,14.0,2.3
19057,4.0_11.5_1.4_2.1_10.0,-13683.325903846155,4.0,1.4,11.5,2.1
19058,4.2_15.0_0.5_2.3_10.0,-13693.987826923076,4.2,0.5,15.0,2.3
19059,4.0_9.0_0.6_1.4_10.0,-13772.601730769231,4.0,0.6,9.0,1.4
19060,4.8_12.5_1.1_2.1_10.0,-13686.10065384615,4.8,1.1,12.5,2.1
19061,4.6_15.5_1.0_2.4_10.0,-13681.61867307692,4.6,1.0,15.5,2.4
19062,4.2_9.5_1.0_2.1_10.0,-13739.009884615383,4.2,1.0,9.5,2.1
19063,4.4_15.5_0.8_2.4_10.0,-13678.773096153844,4.4,0.8,15.5,2.4
19064,3.2_14.5_1.2_2.4_10.0,-13732.600480769228,3.2,1.2,14.5,2.4
19065,3.8_13.0_0.6_2.6_10.0,-13682.606346153847,3.8,0.6,13.0,2.6
19066,4.8_17.0_1.1_2.1_10.0,-13690.487846153846,4.8,1.1,17.0,2.1
19067,3.8_9.0_0.6_2.7_10.0,-13739.757153846156,3.8,0.6,9.0,2.7
19068,4.2_10.5_0.5_2.3_10.0,-13731.722326923074,4.2,0.5,10.5,2.3
19069,3.6_11.5_0.7_2.3_10.0,-13672.839269230766,3.6,0.7,11.5,2.3
19070,4.0_14.0_1.4_2.1_10.0,-13703.582250000003,4.0,1.4,14.0,2.1
19071,3.2_9.5_0.6_1.6_10.0,-13691.858730769229,3.2,0.6,9.5,1.6
19072,3.4_14.5_1.1_2.7_10.0,-13717.790615384616,3.4,1.1,14.5,2.7
19073,3.6_14.5_0.9_2.7_10.0,-13695.815788461538,3.6,0.9,14.5,2.7
19074,3.6_15.5_0.6_1.8_10.0,-13724.688634615388,3.6,0.6,15.5,1.8
19075,4.0_15.5_1.3_2.7_10.0,-13728.065307692308,4.0,1.3,15.5,2.7
19076,3.0_16.5_0.9_2.9_10.0,-13787.209250000002,3.0,0.9,16.5,2.9
