,params,mle,N,p_transition,offset,kappa
138,4.4_12.0_0.7_2.3_10.0,-13683.883461538462,4.4,0.7,12.0,2.3
139,3.2_17.5_1.4_2.1_10.0,-13822.749615384613,3.2,1.4,17.5,2.1
140,3.0_13.0_0.5_2.3_10.0,-13709.383788461537,3.0,0.5,13.0,2.3
141,3.8_14.5_0.9_2.1_10.0,-13683.895269230767,3.8,0.9,14.5,2.1
142,3.6_16.0_0.8_2.4_10.0,-13724.774000000001,3.6,0.8,16.0,2.4
143,4.0_17.0_1.2_2.4_10.0,-13742.327942307691,4.0,1.2,17.0,2.4
144,3.4_16.0_1.0_2.4_10.0,-13742.254173076924,3.4,1.0,16.0,2.4
145,3.4_9.0_0.5_2.9_10.0,-13704.028596153845,3.4,0.5,9.0,2.9
146,3.8_11.0_0.9_2.1_10.0,-13672.401673076924,3.8,0.9,11.0,2.1
147,3.0_16.5_0.5_2.3_10.0,-13816.392442307695,3.0,0.5,16.5,2.3
148,4.4_17.5_0.7_2.3_10.0,-13710.680346153844,4.4,0.7,17.5,2.3
149,3.2_12.0_1.4_2.1_10.0,-13705.293115384618,3.2,1.4,12.0,2.1
150,3.4_13.5_1.0_2.4_10.0,-13689.965442307692,3.4,1.0,13.5,2.4
151,3.6_13.5_0.8_2.4_10.0,-13679.679076923076,3.6,0.8,13.5,2.4
152,4.0_12.5_1.2_2.4_10.0,-13678.139807692309,4.0,1.2,12.5,2.4
153,3.4_9.5_0.9_2.2_10.0,-13674.365288461539,3.4,0.9,9.5,2.2
154,4.6_9.5_0.7_2.4_10.0,-13792.348749999997,4.6,0.7,9.5,2.4
155,3.8_16.5_0.8_2.3_10.0,-13723.33444230769,3.8,0.8,16.5,2.3
156,3.0_16.0_0.9_2.8_10.0,-13772.49230769231,3.0,0.9,16.0,2.8
157,4.6_17.0_1.3_2.8_10.0,-13731.254865384615,4.6,1.3,17.0,2.8
158,3.2_16.0_1.1_2.8_10.0,-13770.654923076923,3.2,1.1,16.0,2.8
159,4.4_10.0_0.6_2.1_10.0,-13762.489057692308,4.4,0.6,10.0,2.1
160,3.4_14.0_1.1_2.6_10.0,-13706.651288461535,3.4,1.1,14.0,2.6
161,3.6_14.0_0.9_2.6_10.0,-13688.004846153846,3.6,0.9,14.0,2.6
162,4.0_15.0_1.3_2.6_10.0,-13718.483384615385,4.0,1.3,15.0,2.6
163,4.4_15.5_0.6_2.1_10.0,-13686.967423076923,4.4,0.6,15.5,2.1
164,3.2_13.5_1.1_2.8_10.0,-13710.775942307695,3.2,1.1,13.5,2.8
165,3.0_13.5_0.9_2.8_10.0,-13707.127596153847,3.0,0.9,13.5,2.8
166,3.0_9.5_1.0_2.2_10.0,-13668.40346153846,3.0,1.0,9.5,2.2
167,4.6_12.5_1.3_2.8_10.0,-13685.01826923077,4.6,1.3,12.5,2.8
168,3.8_13.0_0.8_2.3_10.0,-13675.416519230772,3.8,0.8,13.0,2.3
169,3.8_9.0_0.8_2.2_10.0,-13728.698634615383,3.8,0.8,9.0,2.2
170,3.6_11.5_0.9_2.6_10.0,-13669.595596153846,3.6,0.9,11.5,2.6
171,4.0_10.5_1.3_2.6_10.0,-13686.885403846154,4.0,1.3,10.5,2.6
172,3.4_11.5_1.1_2.6_10.0,-13679.002384615384,3.4,1.1,11.5,2.6
173,4.6_15.5_1.1_2.6_10.0,-13690.150384615388,4.6,1.1,15.5,2.6
174,4.2_9.5_1.1_2.3_10.0,-13733.394884615383,4.2,1.1,9.5,2.3
175,3.2_14.5_1.3_2.6_10.0,-13748.881903846157,3.2,1.3,14.5,2.6
176,4.4_15.5_0.9_2.6_10.0,-13681.371538461537,4.4,0.9,15.5,2.6
177,3.8_13.0_0.7_2.4_10.0,-13678.155096153847,3.8,0.7,13.0,2.4
178,4.8_17.0_1.0_2.3_10.0,-13687.313269230768,4.8,1.0,17.0,2.3
179,4.8_14.5_1.4_2.8_10.0,-13696.23775,4.8,1.4,14.5,2.8
180,3.8_9.0_0.7_2.5_10.0,-13733.471923076922,3.8,0.7,9.0,2.5
181,3.4_16.5_1.3_2.8_10.0,-13791.916788461538,3.4,1.3,16.5,2.8
182,4.2_17.5_0.9_2.8_10.0,-13727.664942307696,4.2,0.9,17.5,2.8
183,3.6_11.5_0.6_2.1_10.0,-13679.476653846155,3.6,0.6,11.5,2.1
184,4.0_17.5_1.1_2.8_10.0,-13755.010826923077,4.0,1.1,17.5,2.8
185,3.8_16.5_0.7_2.4_10.0,-13727.66621153846,3.8,0.7,16.5,2.4
186,4.6_9.5_0.8_2.3_10.0,-13787.12196153846,4.6,0.8,9.5,2.3
187,3.4_9.5_0.6_2.5_10.0,-13688.989288461538,3.4,0.6,9.5,2.5
188,3.2_11.0_1.3_2.6_10.0,-13695.019711538462,3.2,1.3,11.0,2.6
189,4.4_10.0_0.9_2.6_10.0,-13738.978442307694,4.4,0.9,10.0,2.6
190,4.6_10.0_1.1_2.6_10.0,-13749.240307692306,4.6,1.1,10.0,2.6
191,4.0_12.0_1.1_2.8_10.0,-13672.415365384619,4.0,1.1,12.0,2.8
192,3.6_14.0_0.6_2.1_10.0,-13693.800038461537,3.6,0.6,14.0,2.1
193,3.4_13.0_1.3_2.8_10.0,-13716.919615384611,3.4,1.3,13.0,2.8
194,4.2_12.0_0.9_2.8_10.0,-13673.279076923076,4.2,0.9,12.0,2.8
195,4.8_12.5_1.0_2.3_10.0,-13687.9595,4.8,1.0,12.5,2.3
196,4.8_11.0_1.4_2.8_10.0,-13727.549269230767,4.8,1.4,11.0,2.8
197,4.0_9.0_0.7_1.6_10.0,-13764.006250000002,4.0,0.7,9.0,1.6
198,4.0_10.0_1.2_2.5_10.0,-13697.079692307694,4.0,1.2,10.0,2.5
199,3.6_11.0_0.8_2.5_10.0,-13669.293096153848,3.6,0.8,11.0,2.5
200,3.4_11.0_1.0_2.5_10.0,-13669.903019230771,3.4,1.0,11.0,2.5
201,3.8_9.5_0.9_2.1_10.0,-13702.122096153846,3.8,0.9,9.5,2.1
202,3.8_13.5_0.9_2.0_10.0,-13674.297653846153,3.8,0.9,13.5,2.0
203,3.2_10.5_1.4_2.0_10.0,-13688.498846153845,3.2,1.4,10.5,2.0
204,4.4_15.0_0.7_2.2_10.0,-13678.418173076923,4.4,0.7,15.0,2.2
205,3.0_14.0_0.5_2.2_10.0,-13733.716192307691,3.0,0.5,14.0,2.2
206,3.0_12.0_0.7_1.4_10.0,-13690.04882692308,3.0,0.7,12.0,1.4
207,3.0_9.0_1.1_2.1_10.0,-13670.950115384612,3.0,1.1,9.0,2.1
208,4.8_13.0_1.1_1.8_10.0,-13676.566846153846,4.8,1.1,13.0,1.8
209,3.2_9.5_0.7_1.4_10.0,-13686.811019230767,3.2,0.7,9.5,1.4
210,3.4_14.5_1.0_2.5_10.0,-13706.900576923073,3.4,1.0,14.5,2.5
211,4.0_15.5_1.2_2.5_10.0,-13712.442403846151,4.0,1.2,15.5,2.5
212,3.6_14.5_0.8_2.5_10.0,-13692.31928846154,3.6,0.8,14.5,2.5
213,3.0_11.5_0.5_2.2_10.0,-13691.28871153846,3.0,0.5,11.5,2.2
214,3.2_15.0_1.4_2.0_10.0,-13758.895211538462,3.2,1.4,15.0,2.0
215,4.4_10.5_0.7_2.2_10.0,-13741.640480769232,4.4,0.7,10.5,2.2
216,3.4_9.0_0.8_2.1_10.0,-13688.421903846154,3.4,0.8,9.0,2.1
217,4.6_9.0_0.6_2.7_10.0,-13825.979249999997,4.6,0.6,9.0,2.7
218,3.8_16.0_0.9_2.0_10.0,-13707.602692307692,3.8,0.9,16.0,2.0
219,4.8_14.0_1.3_1.6_10.0,-13677.00225,4.8,1.3,14.0,1.6
220,4.8_12.0_1.1_2.0_10.0,-13704.312692307692,4.8,1.1,12.0,2.0
221,3.6_14.5_0.7_2.2_10.0,-13693.916557692308,3.6,0.7,14.5,2.2
222,4.0_11.0_1.4_2.0_10.0,-13680.204442307691,4.0,1.4,11.0,2.0
223,4.2_13.5_0.7_1.4_10.0,-13681.238076923079,4.2,0.7,13.5,1.4
224,4.2_15.5_0.5_2.2_10.0,-13700.359557692309,4.2,0.5,15.5,2.2
225,4.4_10.5_0.8_2.5_10.0,-13733.487769230767,4.4,0.8,10.5,2.5
226,3.2_11.5_1.2_2.5_10.0,-13691.675403846155,3.2,1.2,11.5,2.5
227,4.6_10.5_1.0_2.5_10.0,-13735.794769230768,4.6,1.0,10.5,2.5
228,3.8_16.0_0.6_2.7_10.0,-13719.543134615385,3.8,0.6,16.0,2.7
